Title;Price;Location;Specifications;Link;Image
Mercedes-Benz W211 E270 CDI Avantgarde;264 924 грн.;Коростень - 28 жовтня 2025 р.;2002  467 тис.км.;https://www.olx.ua/d/uk/obyavlenie/mercedes-benz-w211-e270-cdi-avantgarde-IDZeu2T.html;"https://ireland.apollo.olxcdn.com:443/v1/files/n82cf8ydnkft2-UA/image;s=216x152;q=50"
Ford Scorpio 2.8 можно зробити Дрифт корч задній привід;14 700 грн.;Київ, Оболонський - 29 жовтня 2025 р.;1985  200 тис.км.;https://www.olx.ua/d/uk/obyavlenie/ford-scorpio-2-8-mozhno-zrobiti-drift-korch-zadny-privd-IDZ40Lh.html;"https://ireland.apollo.olxcdn.com:443/v1/files/h17pdw7pe5kb-UA/image;s=216x152;q=50"
Продам Рено Твінго (Renault twingo) 1.2 газ /бенз;54 667 грн.;Хмельницький - 29 жовтня 2025 р.;1998  250 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-reno-tvngo-renault-twingo-1-2-gaz-benz-IDYb3Jc.html;"https://ireland.apollo.olxcdn.com:443/v1/files/8am7253dr8uk-UA/image;s=216x152;q=50"
Продам volkswagen кадик. На полном ходу;82 000 грн.Договірна;Самар - Сьогодні о 10:49;2003  230 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-volkswagen-kadik-na-polnom-hodu-IDZ32Zk.html;"https://ireland.apollo.olxcdn.com:443/v1/files/xexhwm9ffrry-UA/image;s=216x152;q=50"
Авто Renault Modus;180 821 грн.;Київ, Шевченківський - Сьогодні о 09:38;2008  235 тис.км.;https://www.olx.ua/d/uk/obyavlenie/avto-renault-modus-IDZ3KS0.html;"https://ireland.apollo.olxcdn.com:443/v1/files/a3l69z8xi2kv3-UA/image;s=216x152;q=50"
Ford Focus 2.0 (або ОБМІН);378 421 грн.Договірна;Ужгород - Сьогодні о 10:38;2017  142 тис.км.;https://www.olx.ua/d/uk/obyavlenie/ford-focus-2-0-abo-obmn-IDYRoK6.html;/app/static/media/no_thumbnail.15f456ec5.svg
Свіжопригнаний Ford Galaxy3. 2007 не розмитнений в Києві;168 206 грн.;Київ, Дарницький - Сьогодні о 09:50;2007  280 тис.км.;https://www.olx.ua/d/uk/obyavlenie/svzhoprignaniy-ford-galaxy3-2007-ne-rozmitneniy-v-kiv-IDYPo76.html;/app/static/media/no_thumbnail.15f456ec5.svg
Свіжопригнана Опель Зафіра Б 2006 не розмитнена;151 385 грн.;Київ, Дарницький - Сьогодні о 09:49;2006  280 тис.км.;https://www.olx.ua/d/uk/obyavlenie/svzhoprignana-opel-zafra-b-2006-ne-rozmitnena-IDYUXI9.html;/app/static/media/no_thumbnail.15f456ec5.svg
Citroen C3 1.4 Бензин Автомат!;290 155 грн.;Кривий Ріг, Покровський - Сьогодні о 05:20;2013  128 тис.км.;https://www.olx.ua/d/uk/obyavlenie/citroen-c3-1-4-benzin-avtomat-IDYX5Dm.html;/app/static/media/no_thumbnail.15f456ec5.svg
Golf 4 1.6 Универсал Отл.сост;155 548 грн.;Запоріжжя, Заводський - Сьогодні о 08:22;1999  345 тис.км.;https://www.olx.ua/d/uk/obyavlenie/golf-4-1-6-universal-otl-sost-IDZ3JNI.html;/app/static/media/no_thumbnail.15f456ec5.svg
Супер Стан‼️VW Touran 2006рік 7місць в Києві не розмитнений;151 385 грн.;Київ, Дарницький - Сьогодні о 09:48;2006  280 тис.км.;https://www.olx.ua/d/uk/obyavlenie/super-stanvw-touran-2006rk-7msts-v-kiv-ne-rozmitneniy-IDYWtqT.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам авто Лада Калина газ/бензин;58 872 грн.;Берестин - Сьогодні о 08:14;2007  180 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-avto-lada-kalina-gaz-benzin-IDYPEsK.html;/app/static/media/no_thumbnail.15f456ec5.svg
Фиат Добло 1.3 Mjet;220 770 грн.Договірна;Калинівка - Сьогодні о 10:25;2013  275 тис.км.;https://www.olx.ua/d/uk/obyavlenie/fiat-doblo-1-3-mjet-IDYRlRa.html;/app/static/media/no_thumbnail.15f456ec5.svg
Запах & стан нового авто! VOLKSWAGEN Golf GTI 8. 18240 км.;1 400 271 грн.Договірна;Київ, Дніпровський - 24 жовтня 2025 р.;2021  18 тис.км.;https://www.olx.ua/d/uk/obyavlenie/zapah-stan-novogo-avto-volkswagen-golf-gti-8-18240-km-IDYIaQq.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продаж автомобіля;273 334 грн.Договірна;Гнівань - 27 жовтня 2025 р.;2001  330 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodazh-avtomoblya-IDZe0Zj.html;/app/static/media/no_thumbnail.15f456ec5.svg
BMW 330E 2016.;323 796 грн.;Усатове - 26 жовтня 2025 р.;2016  120 тис.км.;https://www.olx.ua/d/uk/obyavlenie/bmw-330e-2016-IDZdH6a.html;/app/static/media/no_thumbnail.15f456ec5.svg
Шкода октавія дізель механіка;107 231 грн.;Краматорськ - Сьогодні о 06:11;2007  280 тис.км.;https://www.olx.ua/d/uk/obyavlenie/shkoda-oktavya-dzel-mehanka-IDYT3cA.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам ваз 2101;90 411 грн.;Гребінки - 29 жовтня 2025 р.;1974  30 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-vaz-2101-IDZ5FAy.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам машину Субару у дуже гарному стані . Терміново !!!;328 001 грн.;Чернівці - Сьогодні о 06:00;2008  240 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-mashinu-subaru-u-duzhe-garnomu-stan-termnovo-IDYRyz4.html;/app/static/media/no_thumbnail.15f456ec5.svg
Авто Ford Sierra MK1;36 000 грн.Договірна;Слов'янськ - Сьогодні о 09:39;1984  40 тис.км.;https://www.olx.ua/d/uk/obyavlenie/avto-ford-sierra-mk1-IDYSw2R.html;/app/static/media/no_thumbnail.15f456ec5.svg
Додж калибр механика;168 206 грн.;Київ, Дарницький - Сьогодні о 10:10;2007  330 тис.км.;https://www.olx.ua/d/uk/obyavlenie/dodzh-kalibr-mehanika-IDZ532n.html;/app/static/media/no_thumbnail.15f456ec5.svg
КРАСИВАЯ И УХОЖЕННАЯ Nissan-Maxima -Автомат;231 283 грн.;Дніпро, Новокодацький - Сьогодні о 06:44;2004  250 тис.км.;https://www.olx.ua/d/uk/obyavlenie/krasivaya-i-uhozhennaya-nissan-maxima-avtomat-IDZ3rft.html;/app/static/media/no_thumbnail.15f456ec5.svg
Продам Land Cruiser 100;643 387 грн.Договірна;Кривий Ріг, Саксаганський - Сьогодні о 06:20;2006  343 тис.км.;https://www.olx.ua/d/uk/obyavlenie/prodam-land-cruiser-100-IDZ5GrM.html;/app/static/media/no_thumbnail.15f456ec5.svg
Subaru Forester 4Х4 2.0 ГБО/4 Автомат‼️;231 241 грн.Договірна;Кривий Ріг, Саксаганський - Сьогодні о 10:35;2006  257 тис.км.;https://www.olx.ua/d/uk/obyavlenie/subaru-forester-4h4-2-0-gbo-4-avtomat-IDZ7bcB.html;/app/static/media/no_thumbnail.15f456ec5.svg
Hyundai Tucson 2.0 RCDI продаж/обмін авто;168 206 грн.Договірна;Рівне - Сьогодні о 08:57;2006  369 тис.км.;https://www.olx.ua/d/uk/obyavlenie/hyundai-tucson-2-0-rcdi-prodazh-obmn-avto-IDZ5xkS.html;/app/static/media/no_thumbnail.15f456ec5.svg
Volvo XC90, 2004 рік,2,9 газ/бензин,4х4;273 334 грн.;Київ, Солом'янський - Сьогодні о 08:12;2004  290 тис.км.;https://www.olx.ua/d/uk/obyavlenie/volvo-xc90-2004-rk-2-9-gaz-benzin-4h4-IDYS22m.html;/app/static/media/no_thumbnail.15f456ec5.svg
